id,sport,gender,matchType,iit,status,matchNo,pool,team1,team2,date,time,courtNo
143,Badminton,Women,3rd Place,IIT Madras,upcoming,33,3RD PLACE,LOSER OF SF 1,LOSER OF SF 2,21/12/2025,8.30 AM,2
144,Badminton,Women,Finals,IIT Madras,upcoming,34,FINALS,WINNER OF SF 1,WINNER OF SF 2,21/12/2025,10.30 AM,2
145,Squash,Men,League,IIT Madras,upcoming,1,A,IIT DELHI,IIT HYDERABAD,14/12/2025,9:00 AM,2
146,Squash,Men,League,IIT Madras,upcoming,2,B,IIT BOMBAY,IIT MANDI,14/12/2025,10:00 AM,2
147,Squash,Men,League,IIT Madras,upcoming,3,C,IIT JODHPUR,IIT PATNA,14/12/2025,11:00 AM,2
148,Squash,Men,League,IIT Madras,upcoming,4,D,IIT KANPUR,IIT KHARAGPUR,14/12/2025,12:00 PM,2
149,Squash,Men,League,IIT Madras,upcoming,5,A,IIT BHUBANESWAR,IIT JAMMU,14/12/2025,9:00 AM,1
150,Squash,Men,League,IIT Madras,upcoming,6,B,IIT (BHU) VARANASI,IIT MADRAS,14/12/2025,10:00 AM,1
151,Squash,Men,League,IIT Madras,upcoming,7,C,IIT (ISM) DHANBAD,IIT GUWAHATI,14/12/2025,11:00 AM,1
152,Squash,Men,League,IIT Madras,upcoming,8,D,IIT ROORKEE,IIT INDORE,14/12/2025,12:00 PM,1
153,Squash,Men,League,IIT Madras,upcoming,9,A,IIT DELHI,IIT JAMMU,15/12/2025,9:00 AM,2
154,Squash,Men,League,IIT Madras,upcoming,10,B,IIT BOMBAY,IIT MADRAS,15/12/2025,10:00 AM,2
155,Squash,Men,League,IIT Madras,upcoming,11,C,IIT JODHPUR,IIT GUWAHATI,15/12/2025,11:00 AM,2
156,Squash,Men,League,IIT Madras,upcoming,12,D,IIT KANPUR,IIT INDORE,15/12/2025,3:00 PM,2
157,Squash,Men,League,IIT Madras,upcoming,13,D,IIT ROORKEE,IIT GANDHINAGAR,15/12/2025,4:00 PM,2
158,Squash,Men,League,IIT Madras,upcoming,14,A,IIT BHUBANESWAR,IIT HYDERABAD,16/12/2025,9:00 AM,2
159,Squash,Men,League,IIT Madras,upcoming,15,B,IIT (BHU) VARANASI,IIT MANDI,16/12/2025,10:00 AM,2
160,Squash,Men,League,IIT Madras,upcoming,16,C,IIT (ISM) DHANBAD,IIT PATNA,16/12/2025,3:00 PM,2
161,Squash,Men,League,IIT Madras,upcoming,17,D,IIT ROORKEE,IIT KHARAGPUR,16/12/2025,4:00 PM,2
162,Squash,Men,League,IIT Madras,upcoming,18,D,IIT INDORE,IIT GANDHINAGAR,16/12/2025,5:00 PM,2
163,Squash,Men,League,IIT Madras,upcoming,19,D,IIT KANPUR,IIT GANDHINAGAR,17/12/2025,9:00 AM,1
164,Squash,Men,League,IIT Madras,upcoming,20,A,IIT HYDERABAD,IIT JAMMU,17/12/2025,9:00 AM,2
165,Squash,Men,League,IIT Madras,upcoming,21,B,IIT MANDI,IIT MADRAS,17/12/2025,10:00 AM,1
